Id,PlanReference,Location_x,Location_y,Level,Strength,Dimensions_l,Dimensions_w,Dimensions_h,Liveload,TypeOfElement,RebarDiameterTop,RebarAmountTop,RebarDiameterBottom,RebarAmountBottom,Condition,Img,Rebound1,Rebound2,Rebound3,Rebound4,Rebound5,Rebound6
0,U-Y/1-8,2100,13200,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,Good,,1,1,1,1,1,6
1,U-Y/9-16,6900,13200,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,Repairable,,,,,,,
2,U-Y/21-24,12900,13200,1,C25/30,2400,2377,180,2,HC,12.5,0,12.5,8,Broken,,,,,,,
3,U-Y/25-32,16500,13200,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
4,U-Y/33-40,21300,13200,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
5,U-Y/41-44,24900,13200,1,C25/30,2400,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
6,U-Y/49-52,29700,13200,1,C25/30,2400,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
7,U-Y/53-60,33300,13200,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
8,U-Y/61-68,38100,13200,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
9,U-Y/69-72,41700,13200,1,C25/30,2400,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
10,U-Y/77-84,47700,13200,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
11,U-Y/85-92,52500,13200,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
12,Q-T/1-8,2100,10500,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
13,Q-T/9-16,6900,10500,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
14,Q-T/21-24,12900,10500,1,C25/30,2400,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
15,Q-T/25-32,16500,10500,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
16,Q-T/33-40,21300,10500,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
17,Q-T/41-44,24900,10500,1,C25/30,2400,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
18,Q-T/49-52,29700,10500,1,C25/30,2400,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
19,Q-T/53-60,33300,10500,1,C25/30,4800,2377,180,2,HC,12.5,0,12.5,8,,,,,,,,
