PlanReference;Location_x;Location_y;Location_z;Strength;Dimensions_l;Dimensions_w;Dimensions_h;Liveload;TypeOfElement;RebarDiameterTop;RebarAmountTop;RebarDiameterBottom;RebarAmountBottom;Condition;Img
U-Y/1-8;2100;13200;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;Good;
U-Y/9-16;6900;13200;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;Repairable;
U-Y/21-24;12900;13200;1;C25/30;2400;2377;180;2;HC;12.5;0;12.5;8;Broken;
U-Y/25-32;16500;13200;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
U-Y/33-40;21300;13200;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
U-Y/41-44;24900;13200;1;C25/30;2400;2377;180;2;HC;12.5;0;12.5;8;;
U-Y/49-52;29700;13200;1;C25/30;2400;2377;180;2;HC;12.5;0;12.5;8;;
U-Y/53-60;33300;13200;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
U-Y/61-68;38100;13200;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
U-Y/69-72;41700;13200;1;C25/30;2400;2377;180;2;HC;12.5;0;12.5;8;;
U-Y/77-84;47700;13200;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
U-Y/85-92;52500;13200;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
Q-T/1-8;2100;10500;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
Q-T/9-16;6900;10500;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
Q-T/21-24;12900;10500;1;C25/30;2400;2377;180;2;HC;12.5;0;12.5;8;;
Q-T/25-32;16500;10500;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
Q-T/33-40;21300;10500;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
Q-T/41-44;24900;10500;1;C25/30;2400;2377;180;2;HC;12.5;0;12.5;8;;
Q-T/49-52;29700;10500;1;C25/30;2400;2377;180;2;HC;12.5;0;12.5;8;;
Q-T/53-60;33300;10500;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
Q-T/61-68;38100;10500;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
Q-T/69-72;41700;10500;1;C25/30;2400;2377;180;2;HC;12.5;0;12.5;8;;
Q-T/77-84;47700;10500;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
Q-T/85-92;52500;10500;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
M-P/1-6;1500;8100;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
M-P/7-12;5100;8100;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
O-P/3-18;5700;8700;1;C25/30;3600;1188;180;2;HC;12.5;0;12.5;4;;
O-P/19-24;12300;8700;1;C25/30;3600;1188;180;2;HC;12.5;0;12.5;4;;
M-P/25-32;16500;8100;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
M-P/33-40;21300;8100;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
O-P/41-46;25500;8700;1;C25/30;3600;1188;180;2;HC;12.5;0;12.5;4;;
O-P/47-52;29100;8700;1;C25/30;3600;1188;180;2;HC;12.5;0;12.5;4;;
M-P/53-60;33300;8100;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
M-P/61-68;38100;8100;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
O-P/69-74;42300;8700;1;C25/30;3600;1188;180;2;HC;12.5;0;12.5;4;;
O-P/75-80;45900;8700;1;C25/30;3600;1188;180;2;HC;12.5;0;12.5;4;;
M-P/81-86;49500;8100;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
M-P/87-92;53100;8100;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
I-L/1-6;1500;5700;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
I-L/7-12;5100;5700;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
I-N/13-15;7800;6300;1;C25/30;3600;1777;180;2;HC;12.5;0;12.5;6;;
I-N/16-18;9600;6300;1;C25/30;3600;1777;180;2;HC;12.5;0;12.5;6;;
I-N/19-21;11400;6300;1;C25/30;3600;1777;180;2;HC;12.5;0;12.5;6;;
I-N/22-24;13200;6300;1;C25/30;3600;1777;180;2;HC;12.5;0;12.5;6;;
I-L/25-32;16500;5700;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
I-L/33-40;21300;5700;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
I-N/41-44;24900;6300;1;C25/30;3600;1777;180;2;HC;12.5;0;12.5;6;;
I-N/44-46;26400;6300;1;C25/30;3600;1777;180;2;HC;12.5;0;12.5;6;;
I-N/47-49;28200;6300;1;C25/30;3600;1777;180;2;HC;12.5;0;12.5;6;;
I-N/50-52;30000;6300;1;C25/30;3600;1777;180;2;HC;12.5;0;12.5;6;;
I-L/53-60;33300;5700;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
I-L/61-68;38100;5700;1;C25/30;4800;2377;180;2;HC;12.5;0;12.5;8;;
I-N/69-71;41400;6300;1;C25/30;3600;1777;180;2;HC;12.5;0;12.5;6;;
I-N/72-74;43200;6300;1;C25/30;3600;1777;180;2;HC;12.5;0;12.5;6;;
I-N/75-77;45000;6300;1;C25/30;3600;1777;180;2;HC;12.5;0;12.5;6;;
I-N/78-80;46800;6300;1;C25/30;3600;1777;180;2;HC;12.5;0;12.5;6;;
I-L/81-86;49500;5700;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
I-L/87-92;53100;5700;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
E-H/1-6;1500;3300;1;C25/30;3600;2377;180;2;HC;12.5;0;12.5;8;;
