id,planReference,location_x,location_y,location_z,strength,dimensions_l,dimensions_w,dimensions_h,liveload,typeOfElement,rebarDiameterTop,rebarAmountTop,rebarDiameterBottom,rebarAmountBottom,weight
0,U-Y/1-8,2400.000,13200.000,2590.000,C25 / 30,4800.000,2377.000,180.000,2.000,HC,12.500,10.000,12.500,8.000,
1,U-Y/9-16,2400.000,13200.000,2590.000,C25 / 30,4800.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
2,U-Y/21-24,2400.000,13200.000,2590.000,C25 / 30,2400.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
3,U-Y/25-32,2400.000,13200.000,2590.000,C25 / 30,4800.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
4,U-Y/33-40,2400.000,13200.000,2590.000,C25 / 30,4800.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
5,U-Y/41-44,2400.000,13200.000,2590.000,C25 / 30,2400.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
6,U-Y/49-52,2400.000,13200.000,2590.000,C25 / 30,2400.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
7,U-Y/53-60,2400.000,13200.000,2590.000,C25 / 30,4800.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
8,U-Y/61-68,2400.000,13200.000,2590.000,C25 / 30,4800.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
9,U-Y/69-72,2400.000,13200.000,2590.000,C25 / 30,2400.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
10,U-Y/77-84,2400.000,13200.000,2590.000,C25 / 30,4800.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
11,U-Y/85-92,2400.000,13200.000,2590.000,C25 / 30,4800.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
12,Q-T/1-8,2400.000,13200.000,2590.000,C25 / 30,4800.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
13,Q-T/9-16,2400.000,13200.000,2590.000,C25 / 30,4800.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
14,Q-T/21-24,2400.000,13200.000,2590.000,C25 / 30,2400.000,2377.000,180.000,2.000,HC,12.500,0.000,12.500,8.000,
