PlanReference;Location_x;Location_y;level;Strength;Dimensions_l;Dimensions_w;Dimensions_h;Liveload;TypeOfElement;RebarDiameterTop;RebarAmountTop;RebarDiameterBottom;RebarAmountBottom;Condition;img;Rebound.1;Rebound.2;Rebound.3;Rebound.4;Rebound.5;Rebound.6;;;;
U-Y/1-8;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
U-Y/9-16;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
U-Y/21-24;2400;13200;1;C25/30;2400;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
U-Y/25-32;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
U-Y/33-40;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
U-Y/41-44;2400;13200;1;C25/30;2400;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
U-Y/49-52;2400;13200;1;C25/30;2400;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
U-Y/53-60;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
U-Y/61-68;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
U-Y/69-72;2400;13200;1;C25/30;2400;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
U-Y/77-84;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
U-Y/85-92;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
Q-T/1-8;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
Q-T/9-16;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
Q-T/21-24;2400;13200;1;C25/30;2400;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
Q-T/25-32;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
Q-T/33-40;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
Q-T/41-44;2400;13200;1;C25/30;2400;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
Q-T/49-52;2400;13200;1;C25/30;2400;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
Q-T/53-60;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
Q-T/61-68;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
Q-T/69-72;2400;13200;1;C25/30;2400;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
Q-T/77-84;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
Q-T/85-92;2400;13200;1;C25/30;4800;2377,00;180;2;HC;12.5;0;12.5;8;Evaluate;Insert;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;Evaluate;;;;
